venueId,venueCategoryId,venueCategory,latitude,longitude,count
3fd66200f964a52000e71ee3,4bf58dd8d48988d1e7931735,Music Venue,40.73359624,-74.00313914,5
3fd66200f964a52001e81ee3,4bf58dd8d48988d11d941735,Bar,40.75637696,-73.96765298,5
3fd66200f964a52002eb1ee3,4bf58dd8d48988d1e7931735,Music Venue,40.7336301,-74.00228837,2
3fd66200f964a52003e51ee3,4bf58dd8d48988d118941735,Bar,40.72482677,-73.9813931,2
3fd66200f964a52003e71ee3,4bf58dd8d48988d10c941735,French Restaurant,40.73968518,-74.00601983,2
3fd66200f964a52003e81ee3,4bf58dd8d48988d1d5941735,Hotel,40.75611914,-73.97253158,2
3fd66200f964a52004e41ee3,4bf58dd8d48988d116941735,Bar,40.71836265,-73.99081662,12
3fd66200f964a52004e61ee3,4bf58dd8d48988d154941735,Cuban Restaurant,40.7228417,-73.99411647,3
3fd66200f964a52005e41ee3,4bf58dd8d48988d116941735,Bar,40.719831,-73.98735075,4
3fd66200f964a52005e81ee3,4bf58dd8d48988d11b941735,Bar,40.756161,-73.967686,2
3fd66200f964a52005eb1ee3,4bf58dd8d48988d1e5931735,Music Venue,40.73492042,-73.98829722,3
3fd66200f964a52006ea1ee3,4bf58dd8d48988d10c941735,French Restaurant,40.73616152,-74.00347625,3
3fd66200f964a52007ea1ee3,4bf58dd8d48988d14e941735,American Restaurant,40.738098,-74.00417,2
3fd66200f964a52008e31ee3,4bf58dd8d48988d101951735,Thrift / Vintage Store,40.721353,-73.95775,1
3fd66200f964a52008e81ee3,4bf58dd8d48988d1d0941735,Dessert Shop,40.76183842,-73.96517919,1
3fd66200f964a52008e91ee3,4bf58dd8d48988d16d941735,Café,40.736827,-73.986909,9
3fd66200f964a52008eb1ee3,4bf58dd8d48988d116941735,Bar,40.78373199,-73.95044304,1
3fd66200f964a52008f11ee3,4bf58dd8d48988d117941735,Beer Garden,40.77300702,-73.9158863,4
3fd66200f964a52009e61ee3,4bf58dd8d48988d116941735,Bar,40.72194135,-73.99625896,5
3fd66200f964a52009f11ee3,4bf58dd8d48988d10f941735,Indian Restaurant,40.747721,-73.891463,1
3fd66200f964a5200ae51ee3,4bf58dd8d48988d116941735,Bar,40.72607169,-73.98347855,5
3fd66200f964a5200ae61ee3,4bf58dd8d48988d116941735,Bar,40.72988846,-74.0006127,7
3fd66200f964a5200ae71ee3,4bf58dd8d48988d11d941735,Bar,40.73258001,-74.00255978,1
3fd66200f964a5200ae81ee3,4bf58dd8d48988d10c941735,French Restaurant,40.75581939,-73.96901071,1
3fd66200f964a5200ae91ee3,4bf58dd8d48988d1e4931735,Bowling Alley,40.75739368,-73.99330097,3
3fd66200f964a5200ce61ee3,4bf58dd8d48988d116941735,Bar,40.72606832,-74.00157104,2
3fd66200f964a5200de71ee3,4bf58dd8d48988d116941735,Bar,40.73233046,-74.00163991,3
3fd66200f964a5200deb1ee3,4bf58dd8d48988d1e9931735,Music Venue,40.72091882,-73.98791845,3
3fd66200f964a5200ee51ee3,4bf58dd8d48988d116941735,Bar,40.7269742,-73.98404717,2
3fd66200f964a5200ee71ee3,4bf58dd8d48988d14e941735,American Restaurant,40.73302731,-74.00295978,1
3fd66200f964a5200eea1ee3,4bf58dd8d48988d1d2941735,Sushi Restaurant,40.72777075,-74.00033724,2
3fd66200f964a5200fe41ee3,4bf58dd8d48988d1e9931735,Music Venue,40.72110038,-73.98792419,8
3fd66200f964a5200fe51ee3,4bf58dd8d48988d116941735,Bar,40.7272,-73.979717,1
3fd66200f964a5200fea1ee3,4bf58dd8d48988d1bd941735,Salad Place,40.73998,-73.986648,2
3fd66200f964a52010e41ee3,4bf58dd8d48988d1c2941735,Molecular Gastronomy Restaurant,40.71964855,-73.98460702,1
3fd66200f964a52010e51ee3,4bf58dd8d48988d118941735,Bar,40.72702677,-73.98270163,2
